Type,Month,Year,Area,Sales,Dollar Volume,Average Price,Median Price,New Listings,SNLR Trend,Active Listings,Mos Inv (Trend),Avg. SP/LP,Avg. LDOM,Avg. PDOM
All Home Types,3,2025,Halton Region,546,"$662,856,891 ","$1,214,024 ","$1,079,000 ","1,893",37.90%,"2,532",3.7,98%,28,34
All Home Types,3,2025,Burlington,208,"$244,852,581 ","$1,177,176 ","$1,045,000 ",514,44.70%,678,3.1,98%,27,35
All Home Types,3,2025,Halton Hills,40,"$37,895,445 ","$947,386 ","$920,000 ",143,43.80%,180,3,98%,29,37
All Home Types,3,2025,Milton,112,"$110,842,133 ","$989,662 ","$955,352 ",396,38.80%,472,3.1,100%,25,29
All Home Types,3,2025,Oakville,179,"$260,504,981 ","$1,455,335 ","$1,300,000 ",815,31.70%,"1,174",4.6,97%,30,35
All Home Types,3,2025,Peel Region,834,"$861,748,987 ","$1,033,272 ","$931,250 ","3,086",34.30%,"4,305",4.1,98%,24,40
All Home Types,3,2025,Brampton,310,"$295,784,571 ","$954,144 ","$895,500 ","1,364",32.40%,"1,898",4.1,99%,24,37
All Home Types,3,2025,Caledon,67,"$87,876,300 ","$1,311,587 ","$1,205,000 ",237,32.60%,367,5.3,96%,25,46
All Home Types,3,2025,Mississauga,457,"$478,088,116 ","$1,046,145 ","$930,000 ","1,485",36.40%,"2,040",3.9,98%,24,41
All Home Types,3,2025,City of Toronto,"1,908","$2,119,643,432 ","$1,110,924 ","$895,000 ","6,421",35.60%,"9,122",4.3,100%,26,39
All Home Types,3,2025,Toronto West,541,"$591,393,725 ","$1,093,149 ","$952,500 ","1,599",39.30%,"2,164",3.7,101%,25,36
All Home Types,3,2025,Toronto Central,900,"$1,052,584,654 ","$1,169,539 ","$800,500 ","3,456",31.30%,"5,336",5.3,98%,29,45
All Home Types,3,2025,Toronto East,467,"$475,665,053 ","$1,018,555 ","$962,000 ","1,366",42.60%,"1,622",2.9,103%,21,32
All Home Types,3,2025,York Region,859,"$1,048,086,792 ","$1,220,124 ","$1,165,000 ","3,201",36.00%,"4,467",4.1,100%,23,35
All Home Types,3,2025,Aurora,40,"$52,453,436 ","$1,311,336 ","$1,124,500 ",212,36.60%,250,3.7,101%,23,31
All Home Types,3,2025,East Gwillimbury,32,"$38,088,600 ","$1,190,269 ","$1,170,000 ",129,36.10%,178,4,101%,19,32
All Home Types,3,2025,Georgina,53,"$44,277,588 ","$835,426 ","$800,000 ",169,34.30%,245,4.8,100%,28,46
All Home Types,3,2025,King,17,"$34,826,000 ","$2,048,588 ","$1,440,000 ",89,26.90%,168,8,95%,41,60
All Home Types,3,2025,Markham,220,"$267,023,593 ","$1,213,744 ","$1,205,000 ",719,39.10%,992,3.5,102%,21,29
All Home Types,3,2025,Newmarket,58,"$62,850,400 ","$1,083,628 ","$1,032,900 ",221,40.30%,277,3.3,99%,17,29
All Home Types,3,2025,Richmond Hill,146,"$177,326,774 ","$1,214,567 ","$1,187,000 ",617,32.80%,927,4.7,101%,22,33
All Home Types,3,2025,Vaughan,252,"$317,391,403 ","$1,259,490 ","$1,206,000 ",920,35.60%,"1,224",4.1,98%,24,37
All Home Types,3,2025,Stouffville,41,"$53,848,998 ","$1,313,390 ","$1,125,000 ",125,37.50%,206,4.6,98%,36,57
All Home Types,3,2025,Durham Region,671,"$611,546,880 ","$911,396 ","$850,000 ","1,937",43.70%,"2,017",2.6,101%,17,25
All Home Types,3,2025,Ajax,99,"$90,687,628 ","$916,037 ","$867,000 ",258,46.00%,248,2.2,103%,15,21
All Home Types,3,2025,Brock,7,"$6,287,500 ","$898,214 ","$701,000 ",34,36.10%,52,5.4,98%,18,24
All Home Types,3,2025,Clarington,122,"$109,035,176 ","$893,731 ","$830,000 ",290,46.40%,283,2.4,101%,17,29
All Home Types,3,2025,Oshawa,184,"$141,633,686 ","$769,748 ","$738,000 ",534,42.80%,551,2.6,102%,18,24
All Home Types,3,2025,Pickering,108,"$104,216,881 ","$964,971 ","$885,000 ",341,41.10%,356,2.9,101%,17,25
All Home Types,3,2025,Scugog,13,"$16,730,000 ","$1,286,923 ","$1,138,500 ",48,43.90%,76,3.4,97%,25,33
All Home Types,3,2025,Uxbridge,26,"$29,972,000 ","$1,152,769 ","$973,500 ",63,40.60%,82,4.2,98%,20,22
All Home Types,3,2025,Whitby,112,"$112,984,009 ","$1,008,786 ","$939,000 ",369,44.60%,369,2.3,101%,16,23
All Home Types,3,2025,Dufferin County,33,"$25,338,500 ","$767,833 ","$736,000 ",70,44.80%,102,3.3,98%,38,52
All Home Types,3,2025,Orangeville,33,"$25,338,500 ","$767,833 ","$736,000 ",70,44.80%,102,3.3,98%,38,52
All Home Types,3,2025,Simcoe County,160,"$149,074,560 ","$931,716 ","$870,000 ",655,33.20%,917,5,98%,30,42
All Home Types,3,2025,Adjala-Tosorontio,5,"$5,249,500 ","$1,049,900 ","$1,149,500 ",40,28.20%,78,7.3,96%,29,40
All Home Types,3,2025,Bradford,46,"$48,412,900 ","$1,052,454 ","$1,032,500 ",146,36.80%,148,3.8,99%,20,32
All Home Types,3,2025,Essa,21,"$19,558,960 ","$931,379 ","$760,000 ",85,34.70%,117,4.6,98%,39,50
All Home Types,3,2025,Innisfil,43,"$39,524,200 ","$919,167 ","$850,000 ",233,27.90%,362,6.3,98%,30,45
All Home Types,3,2025,New Tecumseth,45,"$36,329,000 ","$807,311 ","$760,000 ",151,39.70%,212,4.1,99%,35,45
